date,market_excess_returns,SMB,HML,risk_free_rate,amazon_price
20170213,0.49,-0.32,0.33,0.002,133.29
20170214,0.45,-0.23,0.33,0.002,135.02
20170215,0.54,0.19,-0.44,0.002,135.51
20170216,-0.16,-0.21,-0.04,0.002,135.35
20170217,0.2,-0.01,-0.57,0.002,135.72
20170221,0.6,-0.03,0.13,0.002,136.7
20170222,-0.15,-0.37,0.12,0.002,137.11
20170223,-0.11,-0.68,0.26,0.002,136.53
20170224,0.15,0.04,-0.91,0.002,136.66
20170227,0.22,0.82,-0.34,0.002,136.93
20170228,-0.42,-1.38,0.2,0.002,136.99
20170301,1.47,0.43,0.72,0.001,139.79
20170302,-0.7,-0.53,-0.88,0.001,138.96
20170303,0.09,-0.22,0.15,0.001,139.78
20170306,-0.38,-0.35,-0.1,0.001,139.34
20170307,-0.36,-0.29,-0.05,0.001,139.52
20170308,-0.19,-0.1,-0.82,0.001,139
20170309,0.04,-0.47,-0.28,0.001,138.68
20170310,0.34,0.1,-0.38,0.001,139.14
20170313,0.13,0.32,-0.03,0.001,139.2
20170314,-0.36,-0.23,0.02,0.001,138.99
20170315,0.86,0.73,-0.41,0.001,140.46
20170316,-0.06,0.44,0.23,0.001,140.69
20170317,-0.08,0.62,-0.26,0.001,139.99
20170320,-0.25,-0.07,-0.75,0.001,141.46
20170321,-1.48,-1.34,-0.69,0.001,139.84
20170322,0.16,-0.3,-0.54,0.001,141.42
20170323,-0.03,0.69,0.46,0.001,140.92
20170324,-0.05,0.12,-0.24,0.001,140.64
20170327,-0.05,0.56,-0.52,0.001,140.88
20170328,0.72,-0.15,0.71,0.001,143.8
20170329,0.18,0.4,-0.06,0.001,144.12
20170330,0.36,0.33,0.93,0.001,143.93
20170331,-0.16,0.57,-0.31,0.001,143.66
20170403,-0.28,-1.1,-0.11,0.003,143.7
20170404,0.05,-0.22,0.32,0.003,144.77
20170405,-0.44,-0.79,-0.3,0.003,144.02
20170406,0.32,0.69,0.49,0.003,143.66
20170407,-0.08,0.14,-0.26,0.003,143.34
20170410,0.08,0.11,0.11,0.003,143.17
20170411,-0.05,0.8,0.25,0.003,141.63
20170412,-0.49,-0.84,-0.53,0.003,141.8
20170413,-0.75,-0.23,-0.79,0.003,141.05
20170417,0.89,0.24,0.22,0.003,141.83
20170418,-0.25,0.36,-0.16,0.003,141.2
20170419,-0.08,0.59,-0.38,0.003,140.68
20170420,0.83,0.52,0.27,0.003,142.44
20170421,-0.28,0.1,-0.14,0.003,142.27
20170424,1.18,0.17,0.52,0.003,143.64
20170425,0.66,0.36,-0.05,0.003,144.53
20170426,0.04,0.7,0.32,0.003,143.68
20170427,0.05,-0.13,-0.95,0.003,143.79
20170428,-0.3,-0.67,-0.59,0.003,143.65
20170501,0.21,0.27,-0.13,0.003,146.58
20170502,0.03,-0.46,-0.21,0.003,147.51
20170503,-0.19,-0.54,0.2,0.003,147.06
20170504,0.02,-0.06,-0.35,0.003,146.53
20170505,0.46,0.07,0.06,0.003,148.96
20170508,-0.04,-0.27,0.29,0.003,153.01
20170509,-0.05,0.49,-0.81,0.003,153.99
20170510,0.21,0.19,0.02,0.003,153.26
20170511,-0.26,-0.36,-0.14,0.003,153.95
20170512,-0.18,-0.3,-0.62,0.003,156.1
20170515,0.53,0.25,0.19,0.003,155.7
20170516,-0.03,0.16,-0.09,0.003,155.47
20170517,-1.97,-0.88,-0.53,0.003,150.25
20170518,0.4,0.05,-0.4,0.003,152.54
20170519,0.7,-0.38,0.41,0.003,153.06
20170522,0.56,0.28,-0.3,0.003,153.99
20170523,0.18,-0.07,0.62,0.003,153.8
20170524,0.24,-0.16,-0.5,0.003,153.34
20170525,0.42,-0.27,-0.77,0.003,153.87
20170526,0.06,-0.02,0.09,0.003,153.61
20170530,-0.19,-0.5,-0.32,0.003,153.67
20170531,-0.02,0.03,-0.56,0.003,152.76
20170601,0.95,0.99,0.04,0.003,153.18
20170602,0.35,0.55,-0.8,0.003,155.45
20170605,-0.17,-0.46,0,0.003,153.93
20170606,-0.28,0.1,-0.07,0.003,154.45
20170607,0.15,-0.19,0.01,0.003,155.37
20170608,0.18,1.16,0.92,0.003,154.99
20170609,-0.12,0.01,2.38,0.003,148.98
20170612,-0.11,-0.27,0.35,0.003,145.42
20170613,0.55,0.08,-0.14,0.003,146.59
20170614,-0.17,-0.47,-0.54,0.003,145.16
20170615,-0.3,-0.23,-0.12,0.003,144.29
20170616,-0.03,-0.23,-0.18,0.003,142.27
20170619,0.86,0.12,-0.74,0.003,146.34
20170620,-0.73,-0.41,-0.51,0.003,145.01
20170621,-0.07,-0.05,-1.69,0.003,145.87
20170622,0.02,0.52,-0.41,0.003,145.63
20170623,0.24,0.82,-0.51,0.003,146.28
20170626,0.04,-0.05,0.69,0.003,145.82
20170627,-0.85,-0.4,1.33,0.003,143.73
20170628,1.02,0.74,0.21,0.003,145.83
20170629,-0.83,-0.11,1.38,0.003,143.68
20170630,0.14,-0.09,-0.23,0.003,144.02
20170703,0.24,0.35,1.21,0.004,143.5
20170705,0.12,-0.7,-0.57,0.004,144.09
20170706,-0.95,-0.5,0.11,0.004,142.73
20170707,0.7,0.42,-0.41,0.004,144.18
20170710,0.05,-0.43,-0.09,0.004,145.06
20170711,0,0.38,-0.53,0.004,145.53
20170712,0.72,0.13,-0.53,0.004,145.74
20170713,0.17,-0.06,0.37,0.004,147.77
20170714,0.42,-0.13,-0.51,0.004,149.04
20170717,0,0.21,0.13,0.004,149.56
20170718,0.04,-0.3,-0.33,0.004,150.08
20170719,0.59,0.52,0.03,0.004,151.02
20170720,-0.01,0.05,-0.01,0.004,150.34
20170721,-0.08,-0.42,-0.28,0.004,150.27
20170724,-0.03,0.12,-0.2,0.004,152.09
20170725,0.38,0.37,0.92,0.004,152.74
20170726,-0.06,-0.35,-0.7,0.004,153.46
20170727,-0.14,-0.62,0.45,0.004,150.56
20170728,-0.17,-0.06,0.24,0.004,149.5
20170731,-0.11,-0.33,0.44,0.004,148.73
20170801,0.24,-0.24,0.18,0.004,150.05
20170802,-0.08,-1.17,0.15,0.004,157.14
20170803,-0.21,-0.33,-0.29,0.004,155.57
20170804,0.25,0.3,0.36,0.004,156.39
20170807,0.16,-0.09,-0.6,0.004,158.81
20170808,-0.24,-0.1,0.21,0.004,160.08
20170809,-0.14,-0.76,-0.1,0.004,161.06
20170810,-1.49,-0.29,0.25,0.004,155.32
20170811,0.2,0.24,-0.88,0.004,157.48
20170814,1.03,0.26,0.06,0.004,159.85
20170815,-0.11,-0.85,-0.04,0.004,161.6
20170816,0.18,-0.12,-0.45,0.004,160.95
20170817,-1.59,-0.17,-0.15,0.004,157.86
20170818,-0.15,0.14,0.21,0.004,157.5
20170821,0.06,-0.25,-0.22,0.004,157.21
20170822,1.06,-0.02,-0.25,0.004,159.78
20170823,-0.32,0.1,0.4,0.004,159.98
20170824,-0.14,0.6,0.18,0.004,159.27
20170825,0.18,0.12,0.58,0.004,159.86
20170828,0.08,0.35,-0.74,0.004,161.47
20170829,0.1,0.13,-0.39,0.004,162.91
20170830,0.53,0.02,-0.32,0.004,163.35
20170831,0.62,0.47,-0.42,0.004,164
20170901,0.27,0.41,0.44,0.005,164.05
20170905,-0.81,0.1,-0.95,0.005,162.08
20170906,0.28,-0.02,0.13,0.005,161.91
20170907,-0.07,0.15,-0.93,0.005,161.26
20170908,-0.16,0.04,0.36,0.005,158.63
20170911,1.08,-0.12,0.63,0.005,161.5
20170912,0.43,0.25,0.71,0.005,160.86
20170913,0.11,0.31,0.36,0.005,159.65
20170914,-0.12,-0.04,-0.07,0.005,158.28
20170915,0.19,0.28,0.12,0.005,159.88
20170918,0.24,0.37,0.2,0.005,158.67
20170919,0.15,-0.28,0.35,0.005,158.73
20170920,0.16,0.23,0.52,0.005,156.07
20170921,-0.28,0.1,0.37,0.005,153.39
20170922,0.12,0.44,0.13,0.005,151.89
20170925,-0.25,0.31,0.63,0.005,150.55
20170926,0.05,0.38,0.13,0.005,153.14
20170927,0.63,1.38,0.17,0.005,154.23
20170928,0.13,0.16,-0.07,0.005,153.28
20170929,0.35,-0.12,-0.27,0.005,154.12
20171002,0.5,0.84,0.16,0.004,153.81
20171003,0.26,-0.03,-0.02,0.004,154.48
20171004,0.05,-0.28,-0.45,0.004,153.48
20171005,0.55,-0.34,0.35,0.004,155.39
20171006,-0.08,-0.08,-0.25,0.004,155.3
20171009,-0.22,-0.28,-0.05,0.004,155.84
20171010,0.24,-0.01,0.42,0.004,155.9
20171011,0.16,-0.2,-0.22,0.004,156.55
20171012,-0.18,0.04,-0.51,0.004,156
20171013,0.04,-0.22,0.11,0.004,156.99
20171016,0.17,-0.28,0.37,0.004,159.88
20171017,0.01,-0.33,-0.28,0.004,160.47
20171018,0.14,0.31,0.22,0.004,159.76
20171019,0.02,-0.38,0.17,0.004,155.98
20171020,0.57,-0.07,0.28,0.004,156.25
20171023,-0.45,-0.42,0.12,0.004,156.17
20171024,0.2,-0.18,0.47,0.004,157.1
20171025,-0.51,-0.01,0.11,0.004,156.41
20171026,0.2,0.04,0.22,0.004,157.41
20171027,0.82,-0.02,-1.01,0.004,163.05
20171030,-0.46,-0.8,-0.06,0.004,166.72
20171031,0.23,0.81,-0.22,0.004,169.04
20171101,0.05,-0.8,0.15,0.004,166.89
20171102,0.06,-0.03,0.49,0.004,168.11
20171103,0.31,-0.42,-0.69,0.004,172.5
20171106,0.06,0.2,0.19,0.004,174.25
20171107,-0.2,-1.36,-0.37,0.004,174.81
20171108,0.12,0.06,-0.62,0.004,176.24
20171109,-0.41,-0.02,0.22,0.004,175.88
20171110,0.01,0.05,-0.38,0.004,174.67
20171113,0.09,-0.3,0.02,0.004,173.97
20171114,-0.22,-0.13,0,0.004,171.34
20171115,-0.52,-0.05,0.24,0.004,169.08
20171116,1.01,0.85,-0.52,0.004,171.1
20171117,-0.14,0.74,0.29,0.004,170.15
20171120,0.21,0.56,0,0.004,169.98
20171121,0.67,0.41,-0.35,0.004,173.14
20171122,-0.05,0.1,-0.03,0.004,174.96
20171124,0.21,0.02,-0.45,0.004,174.97
20171127,-0.06,-0.37,0.03,0.004,174.09
20171128,1.06,0.39,0.86,0.004,173.07
20171129,0.02,0.04,1.44,0.004,169.48
20171130,0.82,-0.56,-0.51,0.004,171.85
